root,repo,kind,git,exists,files,top_languages,workspace_shape,cold_builds_reported,cold_build_pairs,cold_wall_p50_ms,cold_wall_max_ms,resumes,supersessions,decision_reasons,tier2_snapshot_ms_n_p50_max,tier2_category_reuse,semantic_collect_ms_n_p50_max,semantic_embed_retries,search_build_ms_n_p50_max,slow_calls_p50_p95_by_tool,slow_calls_over_10s_by_tool,limiter_queued,limiter_wait_ms_n_p95_max,tier2_deferred,breaker_or_suspension_hits
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_5bd8cc5d81cb63c0,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_7c6ff41190c95962,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_82682d3a93e0dba4,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_a7cdc9f595a61c15,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_c40639240a3aa00d,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_cf99840838a84af2,synapse,worktree,yes,yes,793,.rs Rust=177; .json JSON=135; .md Markdown=113,cargo:22,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"bash_drain_completions:n=20,p50=132ms,p95=172ms; edit:n=4,p50=60ms,p95=78ms; grep:n=3,p50=110ms,p95=148ms; inspect:n=3,p50=1772ms,p95=86363ms; read:n=1,p50=96ms,p95=96ms; safety:n=2,p50=58ms,p95=65ms; search:n=29,p50=1095ms,p95=2362ms",inspect=1,9,9/654/654,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_dacc5f6923159d4c,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_dce225d605fff084,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/bg_f58f2fe9c08e9f45,synapse,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/pool-16,pool-16,worktree,yes,yes,n/a,n/a,none,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/07d868436e96de13/pool-9,pool-9,worktree,yes,yes,n/a,n/a,none,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/0f3900af641f5248/bg_829b0639204ff0ee,opencode,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/5788b0bcf59c4258/bg_19e853888d3f8479,cortexkit-e2e,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/5788b0bcf59c4258/bg_418875becee85794,cortexkit-e2e,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/5788b0bcf59c4258/bg_74dd6e0673f9bad2,cortexkit-e2e,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/5788b0bcf59c4258/bg_896b868cbdc968c9,cortexkit-e2e,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/5788b0bcf59c4258/bg_af5517cde1e5fc39,cortexkit-e2e,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/5788b0bcf59c4258/bg_e094c4cf26c6d5ac,cortexkit-e2e,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_09c2692a4c850d8c,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"bash_drain_completions:n=3,p50=130ms,p95=185ms; glob:n=2,p50=10002ms,p95=10045ms; grep:n=4,p50=3310ms,p95=3791ms; read:n=1,p50=283ms,p95=283ms; search:n=10,p50=4676ms,p95=26954ms; zoom:n=2,p50=52ms,p95=128ms",glob=2; search=2,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_2b993a16b790f6c1,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_3b26bc0ef02f9ca7,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_5de98e60977e485d,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_863d96d1,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_99db01301971f5ed,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_a832334cf2ebfbac,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_f37ffc3769c9dec6,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_f88ecd2eaebe505b,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_f91e3af6445fe366,broca,worktree,yes,yes,426,.rs Rust=242; .json JSON=54; .md Markdown=41,cargo:17,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"bash_drain_completions:n=9,p50=58ms,p95=2389ms; edit:n=2,p50=159ms,p95=162ms; inspect:n=2,p50=23456ms,p95=44904ms; read:n=1,p50=588ms,p95=588ms; safety:n=1,p50=84ms,p95=84ms; search:n=10,p50=4377ms,p95=5577ms; write:n=1,p50=114ms,p95=114ms",inspect=2,9,9/39823/39823,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/bg_fd6f9f94c155c94f,broca,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"bash_drain_completions:n=7,p50=121ms,p95=266ms; glob:n=1,p50=10433ms,p95=10433ms; inspect:n=1,p50=72206ms,p95=72206ms; outline:n=2,p50=52ms,p95=1909ms; search:n=15,p50=3390ms,p95=10869ms; zoom:n=7,p50=78ms,p95=189ms",glob=1; inspect=1; search=3,5,5/39175/39175,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/pool-91,broca,worktree,yes,yes,363,.rs Rust=216; .json JSON=50; .md Markdown=29,cargo:17,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/pool-92,broca,worktree,yes,yes,364,.rs Rust=216; .json JSON=50; .md Markdown=30,cargo:17,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/pool-93,broca,worktree,yes,yes,365,.rs Rust=217; .json JSON=50; .md Markdown=30,cargo:17,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/597cb79e014f09be/pool-94,broca,worktree,yes,yes,366,.rs Rust=217; .json JSON=50; .md Markdown=31,cargo:17,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6a76222cf11a4ee9/bg_52462754fa5eca71,insula,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6a76222cf11a4ee9/bg_656d0084191692af,insula,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_00302254f52b5195,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_02363a7f10492583,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"inspect_tier2_run:n=1,p50=4814ms,p95=4814ms",none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_0375021c70b70005,aft,worktree,yes,yes,2324,.ts TypeScript=563; .rs Rust=481; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_1c6d427b,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_1d9cb175e3a4a321,aft,worktree,yes,yes,2329,.ts TypeScript=563; .rs Rust=480; .json JSON=404,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_1e83dc64ff9a04e2,aft,worktree,yes,yes,2307,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_1e85ceefe19fe6d2,aft,worktree,yes,yes,2306,.ts TypeScript=561; .rs Rust=467; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2446788ca621c3a7,aft,worktree,yes,yes,2308,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_29e8716f2ef66222,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2b324e32ed5ef387,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2ba9aefb,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2c415351e4122e28,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2c82024bc30c9dc8,aft,worktree,yes,yes,2307,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2e98c39a,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_2f9b4166ba1bc1b6,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_367959ff,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_3985c04bc7e21970,aft,worktree,yes,yes,2342,.ts TypeScript=564; .rs Rust=483; .json JSON=408,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_3c3194d3b498b274,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_3dc999fa15cbe11b,aft,worktree,yes,yes,2305,.ts TypeScript=561; .rs Rust=466; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_3ec5fd14,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_425f83ad1b7200c2,aft,worktree,yes,yes,2348,.ts TypeScript=564; .rs Rust=484; .json JSON=412,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_430c959aa48631de,aft,worktree,yes,yes,2309,.ts TypeScript=561; .rs Rust=469; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_46c32673d493dbad,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_4b0b4ed1bf80a043,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_4e678d24,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_552c7444fcdca641,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_599f1bcb776a3429,aft,worktree,yes,yes,2352,.ts TypeScript=564; .rs Rust=484; .json JSON=412,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"bash_drain_completions:n=10,p50=1366ms,p95=2955ms; edit:n=6,p50=170ms,p95=236ms; glob:n=1,p50=64ms,p95=64ms; inspect:n=3,p50=11878ms,p95=150030ms; outline:n=1,p50=425ms,p95=425ms; search:n=21,p50=11242ms,p95=18462ms; zoom:n=7,p50=1686ms,p95=4857ms",inspect=2; search=14,12,9/2909/2909,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_59a6d378,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_5c265a37ca9f8546,aft,worktree,yes,yes,2307,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_5cc6cbfb45f6c0f7,aft,worktree,yes,yes,2343,.ts TypeScript=564; .rs Rust=483; .json JSON=408,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_5cf2d6ee9584df8c,aft,worktree,yes,yes,2308,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_625f8f0baf736fbc,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_63430e91,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_656166b32ec1da30,aft,worktree,yes,yes,2308,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_6beed22c5677dec1,aft,worktree,yes,yes,2342,.ts TypeScript=564; .rs Rust=483; .json JSON=408,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_70a315d95241ff09,aft,worktree,yes,yes,2308,.ts TypeScript=561; .rs Rust=468; .json JSON=402,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_71b18f68,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_738e123575a46709,aft,worktree,yes,yes,2342,.ts TypeScript=564; .rs Rust=483; .json JSON=408,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_7432f697ae1ed8ea,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_76af1dce8386e9c3,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_7953ec8bdb86b7ea,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_798bea5fbadfa800,aft,worktree,yes,yes,2352,.ts TypeScript=564; .rs Rust=484; .json JSON=412,cargo:2; node:6,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,"bash_drain_completions:n=2,p50=89ms,p95=99ms; outline:n=2,p50=69ms,p95=71ms; search:n=12,p50=6277ms,p95=11837ms",search=4,0,0/n/a/n/a,0,0
/Users/ufukaltinok/.local/share/cortexkit/alfonso/worktrees/6d75dd56448a4a9c/bg_7998af8b5e31df58,aft,worktree,yes,no,n/a,n/a,n/a,0,0,n/a,n/a,0,0,none,0/n/a/n/a,none,0/n/a/n/a,0,0/n/a/n/a,none,none,0,0/n/a/n/a,0,0
